datetimeisoformat,Ch1-S,Ch2-D,PC3,PE4
2022-06-01T00:00:44.278396+00:00,0.16,0.32,0.07,0.19
2022-06-01T00:01:44.747384+00:00,0.17,0.22,0.06,0.18
2022-06-01T00:02:43.654924+00:00,0.18,0.24,0.07,0.19
2022-06-01T00:03:45.063652+00:00,0.19,0.28,0.05,0.18
2022-06-01T00:04:44.224810+00:00,0.18,0.24,0.05,0.19
2022-06-01T00:05:44.799055+00:00,0.19,0.26,0.04,0.18
2022-06-01T00:06:43.654552+00:00,0.16,0.3,0.04,0.17
2022-06-01T00:07:44.309448+00:00,0.17,0.21,0.06,0.19
2022-06-01T00:08:44.913833+00:00,0.17,0.28,0.03,0.18
2022-06-01T00:09:43.828447+00:00,0.2,0.25,0.05,0.18
2022-06-01T00:10:44.406718+00:00,0.17,0.28,0.04,0.19
2022-06-01T00:11:45.017513+00:00,0.17,0.24,0.05,0.18
2022-06-01T00:12:44.021197+00:00,0.16,0.24,0.05,0.18
2022-06-01T00:13:44.515308+00:00,0.17,0.24,0.03,0.18
2022-06-01T00:14:45.037732+00:00,0.17,0.25,0.05,0.18
2022-06-01T00:15:44.102593+00:00,0.17,0.25,0.01,0.19
2022-06-01T00:16:44.612269+00:00,0.17,0.22,0.03,0.19
2022-06-01T00:17:45.070720+00:00,0.17,0.25,0.05,0.18
2022-06-01T00:18:44.025967+00:00,0.16,0.25,0.06,0.19
2022-06-01T00:19:44.654724+00:00,0.16,0.27,0.08,0.18
2022-06-01T00:20:43.616239+00:00,0.16,0.23,0.04,0.18
2022-06-01T00:21:44.085590+00:00,0.17,0.26,0.05,0.18
2022-06-01T00:22:45.063215+00:00,0.18,0.24,0.04,0.19
2022-06-01T00:23:43.968335+00:00,0.18,0.24,0.03,0.18
2022-06-01T00:24:44.551384+00:00,0.16,0.21,0.05,0.18
2022-06-01T00:25:43.863077+00:00,0.17,0.24,0.03,0.19
2022-06-01T00:26:44.399756+00:00,0.19,0.23,0.04,0.18
2022-06-01T00:27:44.950767+00:00,0.17,0.28,0.02,0.19
2022-06-01T00:28:43.882879+00:00,0.18,0.24,0.05,0.18
2022-06-01T00:29:44.438941+00:00,0.18,0.3,0.04,0.18
2022-06-01T00:30:44.986889+00:00,0.17,0.25,0.05,0.18
2022-06-01T00:31:43.837810+00:00,0.17,0.23,0.06,0.19
2022-06-01T00:32:44.450258+00:00,0.16,0.23,0.05,0.19
2022-06-01T00:33:44.933258+00:00,0.16,0.25,0.06,0.19
2022-06-01T00:34:44.018990+00:00,0.18,0.24,0.05,0.19
2022-06-01T00:35:44.817033+00:00,0.17,0.23,0.04,0.18
2022-06-01T00:36:43.717562+00:00,0.16,0.24,0.03,0.17
2022-06-01T00:37:44.250441+00:00,0.17,0.24,0.04,0.18
2022-06-01T00:38:44.805126+00:00,0.15,0.23,0.05,0.18
2022-06-01T00:39:43.824777+00:00,0.17,0.2,0.08,0.18
2022-06-01T00:40:44.331598+00:00,0.17,0.21,0.05,0.19
2022-06-01T00:41:44.950866+00:00,0.17,0.23,0.05,0.18
2022-06-01T00:42:43.987002+00:00,0.2,0.26,0.06,0.19
2022-06-01T00:43:44.542930+00:00,0.16,0.24,0.06,0.18
2022-06-01T00:44:45.055036+00:00,0.16,0.23,0.06,0.19
2022-06-01T00:45:44.006272+00:00,0.16,0.22,0.07,0.18
2022-06-01T00:46:44.602733+00:00,0.19,0.22,0.05,0.18
2022-06-01T00:47:45.133014+00:00,0.17,0.29,0.06,0.19
2022-06-01T00:48:44.116185+00:00,0.17,0.28,0.04,0.19
2022-06-01T00:49:44.657806+00:00,0.18,0.23,0.04,0.19
2022-06-01T00:50:43.617523+00:00,0.18,0.24,0.03,0.19
2022-06-01T00:51:44.104135+00:00,0.18,0.23,0.04,0.19
2022-06-01T00:52:44.670081+00:00,0.18,0.23,0.05,0.19
2022-06-01T00:53:43.652437+00:00,0.17,0.24,0.06,0.18
2022-06-01T00:54:44.320171+00:00,0.2,0.23,0.04,0.18
2022-06-01T00:55:44.832818+00:00,0.19,0.27,0.04,0.19
2022-06-01T00:56:43.727087+00:00,0.18,0.24,0.07,0.18
2022-06-01T00:57:44.206904+00:00,0.18,0.23,0.09,0.19
2022-06-01T00:58:44.784647+00:00,0.21,0.23,0.04,0.19
2022-06-01T00:59:43.849146+00:00,0.21,0.36,0.05,0.19
2022-06-01T01:00:44.344544+00:00,0.2,0.34,0.05,0.19
2022-06-01T01:01:45.163217+00:00,0.16,0.25,0.06,0.19
2022-06-01T01:02:44.066654+00:00,0.19,0.25,0.06,0.2
2022-06-01T01:03:44.528660+00:00,0.18,0.23,0.06,0.19
2022-06-01T01:04:45.057457+00:00,0.18,0.24,0.05,0.18
2022-06-01T01:05:44.251391+00:00,0.17,0.25,0.06,0.18
2022-06-01T01:06:44.936841+00:00,0.18,0.23,0.03,0.19
2022-06-01T01:07:43.879550+00:00,0.18,0.25,0.03,0.19
2022-06-01T01:08:44.472112+00:00,0.18,0.33,0.09,0.19
2022-06-01T01:09:44.984787+00:00,0.19,0.25,0.04,0.19
2022-06-01T01:10:43.936254+00:00,0.17,0.27,0.05,0.19
2022-06-01T01:11:44.399831+00:00,0.18,0.24,0.04,0.18
2022-06-01T01:12:45.030684+00:00,0.17,0.27,0.02,0.2
2022-06-01T01:13:43.841028+00:00,0.2,0.23,0.08,0.19
2022-06-01T01:14:44.458425+00:00,0.18,0.24,0.06,0.19
2022-06-01T01:15:45.085343+00:00,0.18,0.24,0.05,0.19
2022-06-01T01:16:44.054866+00:00,0.19,0.25,0.07,0.18
2022-06-01T01:17:44.578938+00:00,0.17,0.23,0.05,0.2
2022-06-01T01:18:45.138730+00:00,0.15,0.25,0.04,0.18
2022-06-01T01:19:44.057430+00:00,0.17,0.23,0.06,0.19
2022-06-01T01:20:44.664755+00:00,0.19,0.24,0.08,0.18
2022-06-01T01:21:43.628982+00:00,0.2,0.28,0.04,0.19
2022-06-01T01:22:44.142221+00:00,0.18,0.22,0.06,0.18
2022-06-01T01:23:44.639613+00:00,0.17,0.27,0.06,0.19
2022-06-01T01:24:43.657786+00:00,0.17,0.25,0.05,0.18
2022-06-01T01:25:44.319306+00:00,0.16,0.25,0.07,0.18
2022-06-01T01:26:44.839854+00:00,0.19,0.25,0.07,0.19
2022-06-01T01:27:43.936987+00:00,0.18,0.25,0.03,0.18
2022-06-01T01:28:44.580516+00:00,0.17,0.28,0.08,0.18
2022-06-01T01:29:45.112889+00:00,0.16,0.25,0.03,0.18
2022-06-01T01:30:44.034376+00:00,0.16,0.25,0.04,0.18
2022-06-01T01:31:44.585835+00:00,0.16,0.31,0.06,0.18
2022-06-01T01:32:45.190683+00:00,0.16,0.23,0.03,0.18
2022-06-01T01:33:44.129734+00:00,0.15,0.23,0.03,0.19
2022-06-01T01:34:44.579087+00:00,0.17,0.25,0.06,0.19
2022-06-01T01:35:45.143074+00:00,0.16,0.28,0.07,0.18
2022-06-01T01:36:43.991056+00:00,0.17,0.23,0.05,0.19
2022-06-01T01:37:44.534171+00:00,0.19,0.25,0.06,0.18
2022-06-01T01:38:43.617237+00:00,0.18,0.23,0.06,0.18
2022-06-01T01:39:44.272295+00:00,0.18,0.25,0.03,0.18
2022-06-01T01:40:44.794349+00:00,0.19,0.28,0.06,0.19
2022-06-01T01:41:43.638143+00:00,0.18,0.31,0.06,0.19
2022-06-01T01:42:44.108425+00:00,0.16,0.38,0.05,0.19
2022-06-01T01:43:44.693546+00:00,0.19,0.24,0.04,0.18
2022-06-01T01:44:45.174800+00:00,0.18,0.24,0.07,0.18
2022-06-01T01:45:43.729381+00:00,0.18,0.23,0.04,0.19
2022-06-01T01:46:44.174305+00:00,0.18,0.23,0.04,0.18
2022-06-01T01:47:44.735730+00:00,0.16,0.3,0.05,0.18
2022-06-01T01:48:43.737128+00:00,0.18,0.26,0.05,0.18
2022-06-01T01:49:44.391784+00:00,0.17,0.26,0.05,0.18
2022-06-01T01:50:44.968171+00:00,0.18,0.25,0.08,0.19
2022-06-01T01:51:43.925657+00:00,0.15,0.25,0.02,0.18
2022-06-01T01:52:44.556370+00:00,0.18,0.24,0.05,0.19
2022-06-01T01:53:45.072601+00:00,0.17,0.25,0.03,0.18
2022-06-01T01:54:44.083755+00:00,0.19,0.28,0.05,0.19
2022-06-01T01:55:44.604949+00:00,0.17,0.25,0.04,0.18
2022-06-01T01:56:45.110372+00:00,0.18,0.23,0.07,0.18
2022-06-01T01:57:43.985995+00:00,0.16,0.24,0.04,0.19
2022-06-01T01:58:44.491784+00:00,0.19,0.27,0.03,0.18
2022-06-01T01:59:44.882282+00:00,0.18,0.22,0.08,0.18
2022-06-01T02:00:43.749737+00:00,0.18,0.22,0.08,0.19
2022-06-01T02:01:44.310657+00:00,0.18,0.24,0.09,0.19
2022-06-01T02:02:44.802914+00:00,0.19,0.25,0.08,0.19
2022-06-01T02:03:43.649885+00:00,0.19,0.22,0.03,0.19
2022-06-01T02:04:44.253234+00:00,0.16,0.24,0.04,0.18
2022-06-01T02:05:44.798297+00:00,0.18,0.28,0.03,0.18
2022-06-01T02:06:43.817955+00:00,0.2,0.24,0.06,0.19
2022-06-01T02:07:44.324454+00:00,0.15,0.3,0.07,0.18
2022-06-01T02:08:45.002366+00:00,0.18,0.24,0.06,0.19
2022-06-01T02:09:44.059883+00:00,0.16,0.23,0.05,0.18
2022-06-01T02:10:44.711467+00:00,0.18,0.26,0.06,0.18
2022-06-01T02:11:45.166818+00:00,0.17,0.24,0.06,0.18
2022-06-01T02:12:44.103247+00:00,0.18,0.23,0.06,0.19
2022-06-01T02:13:44.609421+00:00,0.18,0.24,0.05,0.19
2022-06-01T02:14:45.084100+00:00,0.16,0.23,0.03,0.18
2022-06-01T02:15:44.008983+00:00,0.18,0.23,0.05,0.18
2022-06-01T02:16:44.480101+00:00,0.18,0.33,0.06,0.18
2022-06-01T02:17:45.001578+00:00,0.17,0.24,0.07,0.19
2022-06-01T02:18:43.835866+00:00,0.2,0.3,0.07,0.19
2022-06-01T02:19:44.325685+00:00,0.18,0.27,0.05,0.19
2022-06-01T02:20:44.876722+00:00,0.17,0.24,0.07,0.19
2022-06-01T02:21:43.792149+00:00,0.17,0.29,0.07,0.18
2022-06-01T02:22:44.264315+00:00,0.2,0.22,0.05,0.19
2022-06-01T02:23:44.765204+00:00,0.16,0.26,0.07,0.19
2022-06-01T02:24:43.703981+00:00,0.18,0.24,0.06,0.19
2022-06-01T02:25:44.243314+00:00,0.16,0.26,0.02,0.2
2022-06-01T02:26:44.869299+00:00,0.18,0.38,0.04,0.19
2022-06-01T02:27:43.790294+00:00,0.18,0.25,0.07,0.19
2022-06-01T02:28:44.311605+00:00,0.2,0.23,0.08,0.19
2022-06-01T02:29:44.790915+00:00,0.2,0.25,0.03,0.19
2022-06-01T02:30:43.867695+00:00,0.17,0,0.04,0.18
2022-06-01T02:31:44.484287+00:00,0.24,0,0.06,0.19
2022-06-01T02:32:44.977614+00:00,0.18,0,0.09,0.18
2022-06-01T02:33:44.023256+00:00,0.19,0,0.05,0.19
2022-06-01T02:34:44.641573+00:00,0.17,0,0.07,0.19
2022-06-01T02:35:43.626295+00:00,0.17,0,0.04,0.18
2022-06-01T02:36:44.164762+00:00,0.17,0,0.06,0.19
2022-06-01T02:37:44.827495+00:00,0.17,0,0.06,0.18
2022-06-01T02:38:43.781453+00:00,0.16,0,0.07,0.18
2022-06-01T02:39:44.225725+00:00,0.18,0,0.03,0.19
2022-06-01T02:40:44.719835+00:00,0.19,0,0.03,0.18
2022-06-01T02:41:43.645386+00:00,0.15,0,0.04,0.18
2022-06-01T02:42:44.102039+00:00,0.17,0,0.03,0.19
2022-06-01T02:43:44.649725+00:00,0.17,0,0.07,0.19
2022-06-01T02:44:43.632825+00:00,0.16,0,0.03,0.19
2022-06-01T02:45:44.212433+00:00,0.14,0,0.03,0.19
2022-06-01T02:46:44.751724+00:00,0.17,0,0.03,0.19
2022-06-01T02:47:43.708562+00:00,0.17,0,0.07,0.19
2022-06-01T02:48:44.236540+00:00,0.15,0,0.04,0.18
2022-06-01T02:49:45.010676+00:00,0.17,0,0.03,0.19
2022-06-01T02:50:43.992466+00:00,0.17,0,0.02,0.19
2022-06-01T02:51:44.613320+00:00,0.28,0,0.05,0.2
2022-06-01T02:52:45.214822+00:00,0.16,0,0.04,0.18
2022-06-01T02:53:44.123567+00:00,0.16,0,0.03,0.19
2022-06-01T02:54:44.745025+00:00,0.17,0,0.05,0.19
2022-06-01T02:55:43.685755+00:00,0.16,0,0.05,0.19
2022-06-01T02:56:44.189664+00:00,0.16,0,0.06,0.19
2022-06-01T02:57:44.703613+00:00,0.16,0,0.03,0.19
2022-06-01T02:58:43.684458+00:00,0.22,0,0.05,0.19
2022-06-01T02:59:44.276590+00:00,0.17,0,0.05,0.2
